Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_540.jpg;0;0;1;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_597.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_671.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_732.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_801.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_867.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_10_935.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_001.jpg;0;0;0;0;99.66999;85.58897;0.0002357864;40.24681;-5.999252E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_067.jpg;0;0;0;0;99.66999;85.58897;0.0002357191;40.24681;-4.546941E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_135.jpg;0;0;0;0;99.66999;85.58897;0.0002356293;40.24681;-2.610526E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_201.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_267.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_335.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_401.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_467.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_529.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_598.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_670.jpg;0;0;0;0;99.66999;85.58897;0.0002356069;40.24681;-2.126422E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_742.jpg;0;0;0;0;99.66999;85.58897;0.0002356742;40.24681;-3.578733E-07
C:\Users\Roselynn Conrady\Documents\GitHub\592-HW3\RoverTrainingData_Grid\IMG\robocam_2022_03_23_15_22_11_801.jpg;-3.93504;0;0;0;99.66999;85.58897;0.0002353621;39.73294;1.142308E-06
